"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-8.1987589,1.419645e-16,1.545011e-13,ENSG00000118181.6,RPS25,11,118886422,118889401,-293.813921
-8.0557299,4.419466e-03,2.647189e-02,ENSG00000244734.2,HBB,11,  5246694,  5250625,-266.082515
-6.6752535,1.577922e-14,9.301849e-12,ENSG00000147604.9,RPL7,8, 74202506, 74208024,-102.200149
-6.5328156,2.858060e-14,1.617433e-11,ENSG00000105640.8,RPL18A,19, 17970685, 17974962, -92.591995
-6.2300074,1.663579e-08,2.159294e-06,ENSG00000172062.12,SMN1,5, 70220768, 70249769, -75.061821
-6.1803915,1.496366e-04,2.207569e-03,ENSG00000164687.6,FABP5,8, 82192598, 82197012, -72.524248
-6.1281307,4.306607e-09,7.616235e-07,ENSG00000146112.7,PPP1R18,6, 30644166, 30655672, -69.944111
-5.8159777,5.760519e-14,2.810338e-11,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -56.335705
-5.7390024,2.843903e-17,4.470615e-14,ENSG00000145425.5,RPS3A,4,152020725,152025804, -53.408682
-5.5986401,3.898417e-07,2.530037e-05,ENSG00000167617.2,CDC42EP5,19, 54976210, 54984411, -48.457233
-5.5517592,5.093647e-05,9.798835e-04,ENSG00000198918.7,RPL39,X,118920467,118925606, -46.907906
-5.4685853,2.712031e-22,3.836982e-18,ENSG00000148303.12,RPL7A,9,136215069,136218281, -44.280060
-5.4331198,8.379385e-20,2.963788e-16,ENSG00000231500.2,RPS18,6, 33239787, 33244287, -43.204803
-5.3999718,6.861830e-13,2.720092e-10,ENSG00000111669.10,TPI1,12,  6976283,  6980112, -42.223427
-5.3455549,3.412421e-04,4.022321e-03,ENSG00000196436.7,NPIPB15,16, 74411776, 74425978, -40.660467
-5.3242701,6.941596e-05,1.232242e-03,ENSG00000168614.13,NBPF9,1,144811744,144830413, -40.064987
-5.2449687,5.688353e-06,1.880346e-04,ENSG00000168255.14,POLR2J3,7,102178365,102213103, -37.922146
-5.2434204,1.671951e-05,4.254455e-04,ENSG00000158427.10,TMSB15B,X,103173479,103229570, -37.881469
-5.2258417,8.897885e-03,4.404362e-02,ENSG00000181085.10,MAPK15,8,144798429,144804628, -37.422698
-5.1736752,1.940479e-06,8.579345e-05,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120, -36.093701
-5.1175046,1.035732e-03,9.204481e-03,ENSG00000204642.9,HLA-F,6, 29690552, 29706305, -34.715418
-5.1075853,8.709160e-15,6.060854e-12,ENSG00000163682.11,RPL9,4, 39455744, 39460568, -34.477548
-5.0746081,5.956248e-20,2.808966e-16,ENSG00000147403.12,RPL10,X,153618315,153637504, -33.698398
-5.0583980,1.486329e-03,1.206459e-02,ENSG00000203827.7,NBPF16,1,148739443,148758311, -33.321883
-4.8942794,2.938826e-09,5.618717e-07,ENSG00000197728.5,RPS26,12, 56435637, 56438116, -29.738901
-4.8159038,1.274089e-14,7.837307e-12,ENSG00000109475.12,RPL34,4,109541722,109551568, -28.166409
-4.7598482,2.618147e-04,3.328212e-03,ENSG00000177990.7,DPY19L2,12, 63952693, 64062719, -27.092998
-4.6791939,1.241860e-07,1.064838e-05,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -25.619918
-4.6194714,2.671163e-07,1.928143e-05,ENSG00000099290.11,FAM21A,10, 51827648, 51893269, -24.580996
-4.6113072,4.851168e-07,3.023538e-05,ENSG00000269018.1,AP001362.1,11, 65358665, 65359947, -24.442284
-4.5716693,1.621176e-08,2.123741e-06,ENSG00000180879.9,SSR4,X,153058971,153063960, -23.779877
-4.4402829,9.409256e-03,4.587256e-02,ENSG00000162747.5,FCGR3B,1,161592986,161601753, -21.709926
-4.4051467,3.194761e-04,3.837438e-03,ENSG00000165359.10,DDX26B,X,134654584,134716435, -21.187577
-4.3889745,2.565183e-06,1.051948e-04,ENSG00000186166.4,CCDC84,11,118868852,118886501, -20.951397
-4.3693059,5.667031e-03,3.174076e-02,ENSG00000102287.12,GABRE,X,151121596,151143152, -20.667699
-4.3458549,1.415969e-04,2.136951e-03,ENSG00000185128.11,TBC1D3F,17, 36283971, 36294915, -20.334461
-4.2262254,5.864659e-04,5.965004e-03,ENSG00000137331.11,IER3,6, 30710976, 30712331, -18.716327
-4.2060026,1.221193e-05,3.335413e-04,ENSG00000258472.4,RP11-192H23.4,17, 26782770, 26941215, -18.455803
-4.1976413,6.071617e-18,1.227160e-14,ENSG00000170889.9,RPS9,19, 54704610, 54752862, -18.349150
-4.0449058,2.152171e-04,2.874958e-03,ENSG00000204520.8,MICA,6, 31371356, 31383092, -16.505853
-4.0176282,1.154090e-04,1.818261e-03,ENSG00000131042.9,LILRB2,19, 54777675, 54785039, -16.196703
-4.0140009,2.419699e-07,1.811317e-05,ENSG00000161970.8,RPL26,17,  8280838,  8286531, -16.156031
-3.9579417,2.954614e-05,6.431058e-04,ENSG00000234769.4,WASH4P,16,    64043,    69452, -15.540292
-3.8874902,4.185034e-06,1.510455e-04,ENSG00000204305.9,AGER,6, 32148745, 32152101, -14.799641
-3.8677498,1.163903e-04,1.824587e-03,ENSG00000114383.5,TUSC2,3, 50357458, 50365682, -14.598516
-3.8540658,3.058499e-04,3.711119e-03,ENSG00000204257.10,HLA-DMA,6, 32916390, 32936871, -14.460703
-3.8435888,5.378693e-03,3.056135e-02,ENSG00000185864.12,NPIPB4,16, 21845890, 21892148, -14.356068
-3.8419213,5.840417e-21,4.131511e-17,ENSG00000156508.13,EEF1A1,6, 74225473, 74233520, -14.339485
-3.8354804,3.653515e-04,4.229945e-03,ENSG00000223865.6,HLA-DPB1,6, 33043703, 33054978, -14.275610
-3.8012757,8.598881e-03,4.304361e-02,ENSG00000102109.7,PCSK1N,X, 48689504, 48694035, -13.941131
-3.7953937,4.595564e-14,2.322073e-11,ENSG00000229117.4,RPL41,12, 56510370, 56511727, -13.884407
-3.7412485,9.512345e-09,1.442487e-06,ENSG00000127952.12,STYXL1,7, 75625656, 75677322, -13.372975
-3.7403639,1.381720e-16,1.545011e-13,ENSG00000171863.8,RPS7,2,  3622795,  3628509, -13.364778
-3.7391009,7.754763e-03,3.992518e-02,ENSG00000167723.10,TRPV3,17,  3413796,  3461289, -13.353083
-3.7329244,3.070362e-06,1.203310e-04,ENSG00000066379.10,ZNRD1,6, 30026676, 30032686, -13.296037
-3.7069031,9.688622e-03,4.695945e-02,ENSG00000122497.13,NBPF14,1,148003642,148025863, -13.058371
-3.6667472,7.677280e-04,7.299608e-03,ENSG00000153291.11,SLC25A27,6, 46620678, 46645930, -12.699917
-3.6509747,1.277985e-03,1.076887e-02,ENSG00000163041.5,H3F3A,1,226249552,226259702, -12.561829
-3.6491552,3.770199e-12,1.403705e-09,ENSG00000137312.10,FLOT1,6, 30695486, 30710510, -12.545997
-3.6135719,6.132081e-03,3.363966e-02,ENSG00000227507.2,LTB,6, 31548302, 31550299, -12.240342
-3.6118697,2.667254e-04,3.371162e-03,ENSG00000214787.4,MS4A4E,11, 59968726, 60010561, -12.225908
-3.5862290,2.937430e-04,3.613806e-03,ENSG00000196976.5,LAGE3,X,153706028,153707596, -12.010539
-3.5857181,8.252485e-06,2.473651e-04,ENSG00000108106.9,UBE2S,19, 55912652, 55919145, -12.006286
-3.5465663,1.692903e-10,4.605998e-08,ENSG00000204356.7,NELFE,6, 31919864, 31926887, -11.684842
-3.5416796,3.381058e-03,2.180274e-02,ENSG00000029993.10,HMGB3,X,150148982,150159248, -11.645330
-3.5105880,4.720166e-04,5.113392e-03,ENSG00000184682.5,C11orf89,11,  1910375,  1912084, -11.397046
-3.4420379,1.370638e-05,3.624634e-04,ENSG00000175265.13,GOLGA8A,15, 34671269, 34880704, -10.868176
-3.4180673,9.716018e-05,1.590998e-03,ENSG00000254206.1,NPIPB11,16, 29392675, 29415350, -10.689091
-3.4019120,4.145794e-14,2.172396e-11,ENSG00000109686.12,SH3D19,4,152023903,152246784, -10.570063
-3.3487126,1.178775e-03,1.015670e-02,ENSG00000213366.8,GSTM2,1,110210644,110252171, -10.187390
-3.3214633,4.661553e-19,1.298800e-15,ENSG00000196262.9,PPIA,7, 44836279, 44864163,  -9.996779
-3.2859459,7.246934e-07,4.084845e-05,ENSG00000215252.7,GOLGA8B,15, 34817408, 34880704,  -9.753675
-3.2534926,5.508060e-19,1.298800e-15,ENSG00000089009.11,RPL6,12,112842994,112856642,  -9.536716
