"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-9.4965103,9.459355e-54,1.445673e-50,ENSG00000118181.6,RPS25,11,118886422,118889401,-722.328012
-7.6629963,1.989491e-13,5.795301e-12,ENSG00000244734.2,HBB,11,  5246694,  5250625,-202.671066
-6.6675842,7.799487e-58,2.383991e-54,ENSG00000105640.8,RPL18A,19, 17970685, 17974962,-101.658297
-6.3303507,1.153588e-43,8.815140e-41,ENSG00000111669.10,TPI1,12,  6976283,  6980112, -80.468414
-6.1953882,1.570487e-07,1.312288e-06,ENSG00000188536.8,HBA2,16,   222846,   223709, -73.282062
-6.0136953,1.702142e-62,6.503457e-59,ENSG00000145425.5,RPS3A,4,152020725,152025804, -64.610436
-5.8891681,2.044217e-31,7.438517e-29,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275, -59.267452
-5.8890525,3.332944e-54,5.659709e-51,ENSG00000147604.9,RPL7,8, 74202506, 74208024, -59.262703
-5.8879201,2.409665e-48,2.455127e-45,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -59.216204
-5.8319779,2.290544e-73,3.500639e-69,ENSG00000148303.12,RPL7A,9,136215069,136218281, -56.963974
-5.7568549,1.319832e-31,5.172048e-29,ENSG00000204498.6,NFKBIL1,6, 31514647, 31526606, -54.073690
-5.5429654,8.237023e-30,2.517729e-27,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -46.622854
-5.4240137,1.807188e-29,5.114677e-27,ENSG00000146112.7,PPP1R18,6, 30644166, 30655672, -42.932958
-5.2883912,2.107274e-72,1.610274e-68,ENSG00000147403.12,RPL10,X,153618315,153637504, -39.080885
-5.2703944,4.063816e-30,1.350159e-27,ENSG00000172062.12,SMN1,5, 70220768, 70249769, -38.596400
-5.2383006,2.056225e-48,2.244664e-45,ENSG00000163682.11,RPL9,4, 39455744, 39460568, -37.747276
-5.2116146,2.109079e-16,1.107665e-14,ENSG00000137331.11,IER3,6, 30710976, 30712331, -37.055471
-5.0665121,7.508789e-20,6.913062e-18,ENSG00000168614.13,NBPF9,1,144811744,144830413, -33.509821
-5.0134177,1.065038e-27,2.429399e-25,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120, -32.299002
-4.9365079,1.163871e-55,2.541063e-52,ENSG00000231500.2,RPS18,6, 33239787, 33244287, -30.622239
-4.9278185,6.569507e-19,5.175349e-17,ENSG00000198918.7,RPL39,X,118920467,118925606, -30.438355
-4.8096662,9.342914e-49,1.098367e-45,ENSG00000109475.12,RPL34,4,109541722,109551568, -28.044894
-4.7743050,5.906683e-24,8.850180e-22,ENSG00000167617.2,CDC42EP5,19, 54976210, 54984411, -27.365855
-4.7037751,9.622839e-26,1.690412e-23,ENSG00000127952.12,STYXL1,7, 75625656, 75677322, -26.060179
-4.5554375,2.435368e-35,1.329276e-32,ENSG00000197728.5,RPS26,12, 56435637, 56438116, -23.513827
-4.5485784,1.093479e-20,1.114110e-18,ENSG00000204520.8,MICA,6, 31371356, 31383092, -23.402300
-4.5345881,5.987300e-22,7.205032e-20,ENSG00000204305.9,AGER,6, 32148745, 32152101, -23.176457
-4.4912774,5.227961e-36,3.073036e-33,ENSG00000180879.9,SSR4,X,153058971,153063960, -22.491023
-4.4590951,9.793295e-26,1.700806e-23,ENSG00000099290.11,FAM21A,10, 51827648, 51893269, -21.994869
-4.4391205,2.936944e-21,3.276300e-19,ENSG00000160999.8,SH2B2,7,101928405,101962178, -21.692441
-4.4295483,1.490266e-15,6.679103e-14,ENSG00000163041.5,H3F3A,1,226249552,226259702, -21.548990
-4.4222255,7.794709e-08,6.982798e-07,ENSG00000181085.10,MAPK15,8,144798429,144804628, -21.439889
-4.4218315,1.945192e-22,2.519354e-20,ENSG00000234769.4,WASH4P,16,    64043,    69452, -21.434035
-4.3778643,8.741858e-19,6.816419e-17,ENSG00000185128.11,TBC1D3F,17, 36283971, 36294915, -20.790669
-4.3777042,2.545981e-15,1.083850e-13,ENSG00000203827.7,NBPF16,1,148739443,148758311, -20.788362
-4.3751348,4.764731e-47,4.283493e-44,ENSG00000137312.10,FLOT1,6, 30695486, 30710510, -20.751372
