"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-10.2751087,3.616354e-09,1.445227e-06,ENSG00000118181.6,RPS25,11,118886422,118889401,-1239.127318
 -7.4127821,3.871878e-12,7.294618e-09,ENSG00000105640.8,RPL18A,19, 17970685, 17974962, -170.400071
 -6.4176247,3.314611e-04,4.411125e-03,ENSG00000198918.7,RPL39,X,118920467,118925606,  -85.486497
 -6.4142947,4.119106e-11,4.938434e-08,ENSG00000147604.9,RPL7,8, 74202506, 74208024,  -85.289407
 -6.2646415,7.613601e-09,2.868805e-06,ENSG00000122026.6,RPL21,13, 27825446, 27830828,  -76.885601
 -6.1595049,1.016199e-14,6.700816e-11,ENSG00000148303.12,RPL7A,9,136215069,136218281,  -71.481843
 -6.1299437,7.151142e-10,4.715463e-07,ENSG00000111669.10,TPI1,12,  6976283,  6980112,  -70.032062
 -5.9835100,6.784501e-03,3.352342e-02,ENSG00000164687.6,FABP5,8, 82192598, 82197012,  -63.272646
 -5.7622347,8.491731e-06,4.087188e-04,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275,  -54.275706
 -5.7165806,1.868672e-13,6.161012e-10,ENSG00000145425.5,RPS3A,4,152020725,152025804,  -52.585041
 -5.4921145,7.153060e-15,6.700816e-11,ENSG00000147403.12,RPL10,X,153618315,153637504,  -45.008154
 -5.3930255,2.296759e-12,5.048276e-09,ENSG00000231500.2,RPS18,6, 33239787, 33244287,  -42.020618
 -5.3693061,2.730436e-04,3.892864e-03,ENSG00000244734.2,HBB,11,  5246694,  5250625,  -41.335404
 -5.2554178,8.011497e-05,1.775725e-03,ENSG00000099984.6,GSTT2,22, 24322339, 24326106,  -38.197804
 -5.1482225,1.865612e-12,4.920739e-09,ENSG00000163682.11,RPL9,4, 39455744, 39460568,  -35.462505
 -5.0864048,1.325665e-04,2.460638e-03,ENSG00000108106.9,UBE2S,19, 55912652, 55919145,  -33.975074
 -5.0494212,2.195649e-07,3.966604e-05,ENSG00000197728.5,RPS26,12, 56435637, 56438116,  -33.115189
 -4.9961805,2.886604e-05,9.195299e-04,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120,  -31.915392
 -4.9687542,8.891226e-14,3.908583e-10,ENSG00000170889.9,RPS9,19, 54704610, 54752862,  -31.314396
 -4.9624070,6.473122e-11,7.087577e-08,ENSG00000109475.12,RPL34,4,109541722,109551568,  -31.176932
 -4.9568943,2.622033e-06,1.921076e-04,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915,  -31.058027
