"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-9.0894244,1.353577e-09,1.002700e-06,ENSG00000118181.6,RPS25,11,118886422,118889401,-544.740155
-7.0777430,9.566910e-12,2.665316e-08,ENSG00000105640.8,RPL18A,19, 17970685, 17974962,-135.086807
-6.6917399,3.946411e-09,2.769550e-06,ENSG00000111669.10,TPI1,12,  6976283,  6980112,-103.374740
-5.9944614,3.161022e-06,5.403726e-04,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275, -63.754773
-5.8795547,1.684892e-12,7.488785e-09,ENSG00000145425.5,RPS3A,4,152020725,152025804, -58.873835
-5.8270987,8.712854e-11,1.395307e-07,ENSG00000147604.9,RPL7,8, 74202506, 74208024, -56.771647
-5.8071440,1.289005e-13,1.718760e-09,ENSG00000148303.12,RPL7A,9,136215069,136218281, -55.991815
-5.6664053,1.586989e-06,3.216145e-04,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -50.787631
-5.6656077,1.178802e-05,1.212837e-03,ENSG00000099984.6,GSTT2,22, 24322339, 24326106, -50.759562
-5.6410448,2.923536e-06,5.062654e-04,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120, -49.902659
-5.5820380,2.737992e-05,2.212630e-03,ENSG00000204257.10,HLA-DMA,6, 32916390, 32936871, -47.902798
-5.5308401,1.191552e-05,1.212837e-03,ENSG00000145736.10,GTF2H2,5, 70330784, 70363516, -46.232647
-5.5018086,8.946359e-10,7.017103e-07,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -45.311603
-5.3730443,4.360035e-05,2.822171e-03,ENSG00000186104.6,CYP2R1,11, 14899553, 14913798, -41.442650
-5.3189531,3.101558e-13,2.067809e-09,ENSG00000147403.12,RPL10,X,153618315,153637504, -39.917600
-5.2300081,9.994434e-12,2.665316e-08,ENSG00000231500.2,RPS18,6, 33239787, 33244287, -37.530929
-5.1636041,8.234861e-05,4.275503e-03,ENSG00000223865.6,HLA-DPB1,6, 33043703, 33054978, -35.842617
