"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-8.9095229,2.571524e-20,3.379917e-17,ENSG00000118181.6,RPS25,11,118886422,118889401,-480.876604
-8.8531074,1.957658e-06,2.675219e-05,ENSG00000244734.2,HBB,11,  5246694,  5250625,-462.435206
-7.1069422,4.065250e-22,9.795897e-19,ENSG00000105640.8,RPL18A,19, 17970685, 17974962,-137.848732
-7.0048537,5.495071e-08,1.504692e-06,ENSG00000196436.7,NPIPB15,16, 74411776, 74425978,-128.431361
-6.4966038,1.984342e-03,7.488806e-03,ENSG00000188536.8,HBA2,16,   222846,   223709, -90.296854
-6.3074502,5.373409e-11,6.474062e-09,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -79.201189
-6.2928210,7.409215e-27,5.356121e-23,ENSG00000148303.12,RPL7A,9,136215069,136218281, -78.402135
-6.2035202,7.367266e-12,1.401525e-09,ENSG00000146112.7,PPP1R18,6, 30644166, 30655672, -73.696298
-6.0873538,1.214906e-20,1.832349e-17,ENSG00000147604.9,RPL7,8, 74202506, 74208024, -67.994862
-6.0321484,1.486354e-10,1.461885e-08,ENSG00000204498.6,NFKBIL1,6, 31514647, 31526606, -65.442158
-6.0034631,2.225122e-10,1.949746e-08,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275, -64.153812
-5.9648218,1.536738e-19,1.481211e-16,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -62.458319
-5.8601696,2.803589e-10,2.343022e-08,ENSG00000203827.7,NBPF16,1,148739443,148758311, -58.088056
-5.8385346,6.838104e-30,9.886531e-26,ENSG00000147403.12,RPL10,X,153618315,153637504, -57.223451
-5.8097629,1.380251e-21,2.850809e-18,ENSG00000145425.5,RPS3A,4,152020725,152025804, -56.093547
-5.7822975,8.546821e-16,5.148748e-13,ENSG00000163682.11,RPL9,4, 39455744, 39460568, -55.035763
-5.5623454,2.770711e-11,4.005894e-09,ENSG00000099290.11,FAM21A,10, 51827648, 51893269, -47.253372
-5.5342988,5.986320e-10,3.970194e-08,ENSG00000204305.9,AGER,6, 32148745, 32152101, -46.343620
-5.3527657,3.597034e-06,4.352728e-05,ENSG00000137331.11,IER3,6, 30710976, 30712331, -40.864203
-5.3507082,4.555543e-04,2.232463e-03,ENSG00000181085.10,MAPK15,8,144798429,144804628, -40.805966
-5.3443437,6.071014e-08,1.616477e-06,ENSG00000197599.8,CCDC154,16,  1484384,  1494557, -40.626347
-5.3045662,8.035796e-09,3.131578e-07,ENSG00000167617.2,CDC42EP5,19, 54976210, 54984411, -39.521511
-5.3039830,6.856514e-03,2.064379e-02,ENSG00000134184.8,GSTM1,1,110230436,110251661, -39.505538
-5.2939533,1.410035e-15,8.154516e-13,ENSG00000111669.10,TPI1,12,  6976283,  6980112, -39.231846
-5.2333218,4.452519e-06,5.141735e-05,ENSG00000168255.14,POLR2J3,7,102178365,102213103, -37.617233
-5.2222022,4.430877e-03,1.445434e-02,ENSG00000206172.4,HBA1,16,   226679,   227521, -37.328412
-5.2094167,5.709636e-08,1.548779e-06,ENSG00000168614.13,NBPF9,1,144811744,144830413, -36.999060
-5.0268227,9.745646e-08,2.372339e-06,ENSG00000099984.6,GSTT2,22, 24322339, 24326106, -32.600512
-4.9989524,1.418217e-11,2.466884e-09,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120, -31.976771
-4.8864033,8.316507e-07,1.338976e-05,ENSG00000258472.4,RP11-192H23.4,17, 26782770, 26941215, -29.576989
-4.8727689,1.674237e-22,5.034631e-19,ENSG00000231500.2,RPS18,6, 33239787, 33244287, -29.298785
-4.8533491,1.667638e-08,5.699932e-07,ENSG00000185864.12,NPIPB4,16, 21845890, 21892148, -28.907042
-4.8217063,4.306900e-08,1.218574e-06,ENSG00000102878.11,HSF4,16, 67197288, 67203848, -28.279924
-4.8191429,2.162545e-07,4.498716e-06,ENSG00000160999.8,SH2B2,7,101928405,101962178, -28.229719
-4.8124199,1.863305e-04,1.060616e-03,ENSG00000162004.12,CCDC78,16,   772582,   776954, -28.098475
-4.7469684,5.417066e-09,2.244124e-07,ENSG00000215252.7,GOLGA8B,15, 34817408, 34880704, -26.852200
-4.7226813,5.701064e-14,2.060650e-11,ENSG00000197728.5,RPS26,12, 56435637, 56438116, -26.403939
-4.7136599,3.207543e-09,1.491147e-07,ENSG00000186166.4,CCDC84,11,118868852,118886501, -26.239347
-4.6799305,7.676723e-08,1.960955e-06,ENSG00000269018.1,AP001362.1,11, 65358665, 65359947, -25.633002
-4.6527024,5.208799e-05,3.776771e-04,ENSG00000197182.8,FLJ27365,22, 46449749, 46509808, -25.153764
-4.6439891,8.064294e-15,3.761083e-12,ENSG00000180879.9,SSR4,X,153058971,153063960, -25.002303
-4.6351126,2.942498e-06,3.731810e-05,ENSG00000160323.14,ADAMTS13,9,136279478,136324508, -24.848944
-4.6086830,1.902097e-16,1.250024e-13,ENSG00000109475.12,RPL34,4,109541722,109551568, -24.397865
-4.6041280,4.188993e-26,2.018815e-22,ENSG00000170889.9,RPS9,19, 54704610, 54752862, -24.320956
-4.6019571,8.421135e-03,2.440914e-02,ENSG00000224389.4,C4B,6, 31982539, 32003195, -24.284386
-4.5800618,1.250486e-04,7.608039e-04,ENSG00000223865.6,HLA-DPB1,6, 33043703, 33054978, -23.918612
-4.4655197,5.743799e-06,6.368394e-05,ENSG00000158427.10,TMSB15B,X,103173479,103229570, -22.093035
-4.4336043,1.145564e-08,4.193053e-07,ENSG00000198918.7,RPL39,X,118920467,118925606, -21.609658
-4.3659444,4.725263e-10,3.332578e-08,ENSG00000177943.9,MAMDC4,9,139745395,139755249, -20.619599
