"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-9.3196247,4.493181e-57,8.583661e-54,ENSG00000118181.6,RPS25,11,118886422,118889401,-638.978977
-8.0411544,1.659515e-15,4.572798e-14,ENSG00000244734.2,HBB,11,  5246694,  5250625,-263.407819
-7.0811135,1.794186e-61,5.484109e-58,ENSG00000105640.8,RPL18A,19, 17970685, 17974962,-135.402774
-6.4935577,6.873570e-57,1.167209e-53,ENSG00000147604.9,RPL7,8, 74202506, 74208024, -90.106404
-6.2408625,1.468233e-08,1.125326e-07,ENSG00000188536.8,HBA2,16,   222846,   223709, -75.628731
-6.2277917,2.383802e-52,2.802435e-49,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -74.946628
-6.0672562,2.070618e-76,3.164525e-72,ENSG00000148303.12,RPL7A,9,136215069,136218281, -67.054218
-5.8478770,9.227015e-66,3.525412e-62,ENSG00000145425.5,RPS3A,4,152020725,152025804, -57.595214
-5.8087061,7.300516e-20,4.410031e-18,ENSG00000196436.7,NPIPB15,16, 74411776, 74425978, -56.052471
-5.7993054,9.423998e-34,3.429213e-31,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275, -55.688417
-5.6453913,2.046687e-45,1.563976e-42,ENSG00000111669.10,TPI1,12,  6976283,  6980112, -50.053230
-5.5930434,2.894598e-33,1.005412e-30,ENSG00000146112.7,PPP1R18,6, 30644166, 30655672, -48.269613
-5.5338552,1.520326e-75,1.161757e-71,ENSG00000147403.12,RPL10,X,153618315,153637504, -46.329371
-5.5322808,3.084468e-51,2.946246e-48,ENSG00000163682.11,RPL9,4, 39455744, 39460568, -46.278840
-5.4784026,2.318610e-32,7.539430e-30,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -44.582406
-5.4541110,8.727339e-23,8.549995e-21,ENSG00000198918.7,RPL39,X,118920467,118925606, -43.838029
-5.4160976,6.751028e-34,2.579399e-31,ENSG00000172062.12,SMN1,5, 70220768, 70249769, -42.698031
-5.2721381,1.416392e-21,1.216108e-19,ENSG00000203827.7,NBPF16,1,148739443,148758311, -38.643079
-5.2552144,2.773325e-59,6.054961e-56,ENSG00000231500.2,RPS18,6, 33239787, 33244287, -38.192419
-5.1584010,7.426264e-31,1.991151e-28,ENSG00000204498.6,NFKBIL1,6, 31514647, 31526606, -35.713583
-5.0950646,4.685136e-20,2.934547e-18,ENSG00000168255.14,POLR2J3,7,102178365,102213103, -34.179623
-5.0866666,2.175599e-28,4.054838e-26,ENSG00000167617.2,CDC42EP5,19, 54976210, 54984411, -33.981241
-5.0567815,2.471925e-14,5.531250e-13,ENSG00000164687.6,FABP5,8, 82192598, 82197012, -33.284567
-4.9808901,3.196395e-30,7.632891e-28,ENSG00000204435.9,CSNK2B,6, 31633013, 31638120, -31.578925
-4.9370698,1.462487e-39,7.982569e-37,ENSG00000197728.5,RPS26,12, 56435637, 56438116, -30.634169
-4.8674437,7.918981e-26,1.110328e-23,ENSG00000204305.9,AGER,6, 32148745, 32152101, -29.190837
-4.8516378,1.513659e-51,1.652375e-48,ENSG00000109475.12,RPL34,4,109541722,109551568, -28.872774
-4.8171202,3.569983e-39,1.881381e-36,ENSG00000180879.9,SSR4,X,153058971,153063960, -28.190168
-4.8136256,3.884277e-30,8.860209e-28,ENSG00000099290.11,FAM21A,10, 51827648, 51893269, -28.121967
-4.7908128,7.613866e-21,5.732154e-19,ENSG00000168614.13,NBPF9,1,144811744,144830413, -27.680782
-4.7532529,1.555391e-09,1.430267e-08,ENSG00000181085.10,MAPK15,8,144798429,144804628, -26.969426
-4.6982189,4.405751e-25,5.754965e-23,ENSG00000160999.8,SH2B2,7,101928405,101962178, -25.960007
-4.6951866,2.503539e-26,3.788276e-24,ENSG00000186166.4,CCDC84,11,118868852,118886501, -25.905501
-4.6835613,5.577495e-05,2.057964e-04,ENSG00000134184.8,GSTM1,1,110230436,110251661, -25.697593
-4.6060675,1.031965e-25,1.408172e-23,ENSG00000269018.1,AP001362.1,11, 65358665, 65359947, -24.353673
-4.5754936,3.247778e-67,1.654526e-63,ENSG00000170889.9,RPS9,19, 54704610, 54752862, -23.842996
-4.5713973,2.773878e-07,1.659224e-06,ENSG00000206172.4,HBA1,16,   226679,   227521, -23.775393
-4.5622080,6.805179e-15,1.685633e-13,ENSG00000223865.6,HLA-DPB1,6, 33043703, 33054978, -23.624437
-4.5522091,3.083689e-21,2.480422e-19,ENSG00000099984.6,GSTT2,22, 24322339, 24326106, -23.461268
-4.5160228,2.938488e-16,9.514599e-15,ENSG00000204642.9,HLA-F,6, 29690552, 29706305, -22.880121
-4.4910316,3.294491e-33,1.118882e-30,ENSG00000161970.8,RPL26,17,  8280838,  8286531, -22.487191
-4.4367636,2.557393e-22,2.427618e-20,ENSG00000204520.8,MICA,6, 31371356, 31383092, -21.657032
-4.3614302,2.964946e-18,1.373129e-16,ENSG00000158427.10,TMSB15B,X,103173479,103229570, -20.555182
-4.3342681,1.763980e-20,1.225405e-18,ENSG00000185128.11,TBC1D3F,17, 36283971, 36294915, -20.171802
-4.3177061,6.263379e-24,7.090609e-22,ENSG00000186104.6,CYP2R1,11, 14899553, 14913798, -19.941556
-4.2221920,1.897459e-14,4.352178e-13,ENSG00000137331.11,IER3,6, 30710976, 30712331, -18.664074
-4.1966956,8.079967e-25,1.020547e-22,ENSG00000215252.7,GOLGA8B,15, 34817408, 34880704, -18.337125
-4.1949134,1.887863e-23,1.989807e-21,ENSG00000234769.4,WASH4P,16,    64043,    69452, -18.314488
-4.1789607,1.237422e-25,1.673585e-23,ENSG00000127952.12,STYXL1,7, 75625656, 75677322, -18.113089
-4.1687767,3.158377e-17,1.228231e-15,ENSG00000258472.4,RP11-192H23.4,17, 26782770, 26941215, -17.985678
-4.0951964,3.335261e-49,2.831822e-46,ENSG00000137312.10,FLOT1,6, 30695486, 30710510, -17.091373
-4.0851613,8.806907e-54,1.345960e-50,ENSG00000229117.4,RPL41,12, 56510370, 56511727, -16.972902
-4.0620399,3.987202e-39,2.031214e-36,ENSG00000204356.7,NELFE,6, 31919864, 31926887, -16.703053
-4.0307263,4.964276e-21,3.812514e-19,ENSG00000134056.7,MRPS36,5, 68513587, 68525956, -16.344420
-4.0271891,1.296486e-16,4.576026e-15,ENSG00000204257.10,HLA-DMA,6, 32916390, 32936871, -16.304397
-4.0210845,7.801860e-17,2.852532e-15,ENSG00000145736.10,GTF2H2,5, 70330784, 70363516, -16.235552
-3.9984022,2.458923e-14,5.510223e-13,ENSG00000185864.12,NPIPB4,16, 21845890, 21892148, -15.982290
-3.9894523,1.799188e-20,1.238603e-18,ENSG00000175265.13,GOLGA8A,15, 34671269, 34880704, -15.883448
-3.9678564,4.150801e-17,1.585917e-15,ENSG00000131042.9,LILRB2,19, 54777675, 54785039, -15.647457
-3.9640645,2.618582e-16,8.643582e-15,ENSG00000176681.10,LRRC37A,17, 44370099, 44415160, -15.606385
-3.8455837,2.665150e-16,8.759459e-15,ENSG00000102878.11,HSF4,16, 67197288, 67203848, -14.375933
-3.8039425,1.899433e-14,4.352178e-13,ENSG00000197599.8,CCDC154,16,  1484384,  1494557, -13.966925
-3.7866217,3.691808e-21,2.849591e-19,ENSG00000114383.5,TUSC2,3, 50357458, 50365682, -13.800242
-3.7717915,1.926259e-13,3.661569e-12,ENSG00000181135.11,ZNF707,8,144766622,144796068, -13.659110
