"log2FoldChange","pval","padj","anno.GeneID","anno.symbol","anno.chr","anno.locstart","anno.locend","foldChange"
-9.5574116,2.289344e-23,4.646120e-20,ENSG00000118181.6,RPS25,11,118886422,118889401,-753.472772
-8.4444975,1.666551e-08,5.607982e-07,ENSG00000244734.2,HBB,11,  5246694,  5250625,-348.375056
-6.9597465,1.190201e-04,8.056104e-04,ENSG00000188536.8,HBA2,16,   222846,   223709,-124.477962
-6.6385805,8.352417e-25,2.434396e-21,ENSG00000105640.8,RPL18A,19, 17970685, 17974962, -99.634983
-6.1343146,1.720257e-17,1.193777e-14,ENSG00000111669.10,TPI1,12,  6976283,  6980112, -70.244562
-5.9950543,2.671701e-25,9.733675e-22,ENSG00000145425.5,RPS3A,4,152020725,152025804, -63.780975
-5.9875554,3.648400e-13,8.439386e-11,ENSG00000204620.2,AC115618.1,X, 48431482, 48433275, -63.450313
-5.9803670,3.021485e-14,1.100803e-11,ENSG00000204498.6,NFKBIL1,6, 31514647, 31526606, -63.134952
-5.9095278,1.827893e-29,1.331894e-25,ENSG00000148303.12,RPL7A,9,136215069,136218281, -60.109779
-5.7246440,5.902670e-23,9.557734e-20,ENSG00000122026.6,RPL21,13, 27825446, 27830828, -52.879770
-5.7055693,2.234689e-22,2.826174e-19,ENSG00000147604.9,RPL7,8, 74202506, 74208024, -52.185218
-5.6711440,5.236273e-13,1.105916e-10,ENSG00000146112.7,PPP1R18,6, 30644166, 30655672, -50.954722
-5.6656694,1.490765e-13,3.811390e-11,ENSG00000183426.11,NPIPA1,16, 15016659, 15045915, -50.761734
-5.5637862,2.198953e-08,6.921240e-07,ENSG00000137331.11,IER3,6, 30710976, 30712331, -47.300588
-5.4942787,6.991484e-19,5.094345e-16,ENSG00000163682.11,RPL9,4, 39455744, 39460568, -45.075723
-5.4115009,1.254619e-31,1.828356e-27,ENSG00000147403.12,RPL10,X,153618315,153637504, -42.562203
-5.2372007,1.623835e-11,1.955715e-09,ENSG00000204305.9,AGER,6, 32148745, 32152101, -37.718508
-5.0557693,1.746886e-09,8.963861e-08,ENSG00000168614.13,NBPF9,1,144811744,144830413, -33.261223
-5.0491762,6.153725e-09,2.470475e-07,ENSG00000258472.4,RP11-192H23.4,17, 26782770, 26941215, -33.109566
-5.0338220,2.056523e-09,1.016754e-07,ENSG00000197599.8,CCDC154,16,  1484384,  1494557, -32.759059
-5.0178866,3.176973e-10,2.215216e-08,ENSG00000167617.2,CDC42EP5,19, 54976210, 54984411, -32.399208
-4.9435458,3.826328e-11,3.954687e-09,ENSG00000127952.12,STYXL1,7, 75625656, 75677322, -30.771988
